id,superhero,alias,superpowers,location
0,Superman,Clark Kent,Super strength,Metropolis
1,Batman,Bruce Wayne,Genius intellect,Gotham City
2,Spider-Man,Peter Parker,Wall-crawling,Queens
3,Wonder Woman,Diana Prince,Super strength,"Themyscira / Washington, D.C."
4,Iron Man,Tony Stark,Powered armor suit,New York City
5,Captain America,Steve Rogers,Super soldier physiology,Brooklyn
6,The Flash,Barry Allen,Super speed,Central City
7,Thor,Thor Odinson,God-like strength,Asgard / New York City
8,Black Panther,T'Challa,Enhanced senses,Wakanda
9,Green Lantern,Hal Jordan,Hard-light constructs via Power Ring,Coast City
10,Black Widow,Natasha Romanoff,Master spy,Mobile / New York City
11,Hulk,Bruce Banner,Limitless physical strength,Mobile / New York City
12,Aquaman,Arthur Curry,Aquatic telepathy,Atlantis / Amnesty Bay
13,Daredevil,Matt Murdock,Radar sense,Hell's Kitchen
14,Doctor Strange,Stephen Strange,Sorcery,Greenwich Village
15,Wolverine,Logan / James Howlett,Rapid healing factor,Westchester
16,Green Arrow,Oliver Queen,Master archer,Star City
17,Storm,Ororo Munroe,Weather manipulation,Westchester
18,Cyborg,Victor Stone,Cybernetic enhancements,Detroit
19,Nightwing,Dick Grayson,Acrobatics,Blüdhaven
